time;msg_out;bytes_out
1575979427.982520;443;3189600
1575979428.984162;480;3456000
1575979429.985220;549;3952800
1575979430.985229;457;3290400
1575979431.992450;518;3729600
1575979432.993645;546;3931200
1575979434.000638;513;3693600
1575979435.018373;560;4032000
1575979436.021051;495;3564000
1575979437.021216;498;3585600
1575979438.022655;529;3808800
1575979439.023384;565;4068000
1575979440.030547;534;3844800
1575979441.032547;554;3988800
1575979442.036455;524;3772800
1575979443.050415;518;3729600
1575979444.051418;549;3952800
1575979445.087470;220;1584000
1575979446.087605;588;4233600
1575979447.093624;259;1864800
1575979448.094459;371;2671200
1575979449.094459;363;2613600
1575979450.100659;372;2678400
1575979451.106641;337;2426400
1575979452.109540;467;3362400
1575979453.129005;471;3391200
1575979454.132471;514;3700800
1575979455.155056;521;3751200
1575979456.162624;483;3477600
1575979457.166580;383;2757600
1575979458.170507;501;3607200
1575979459.175564;456;3283200
1575979460.181562;388;2793600
1575979461.270681;174;1252800
1575979462.315874;2;14400
1575979463.389913;3;21600
1575979464.394610;477;3434400
1575979465.400727;258;1857600
1575979466.410815;367;2642400
1575979467.421844;497;3578400
1575979468.434290;545;3924000
1575979469.439181;560;4032000
1575979470.442914;578;4161600
1575979471.444813;563;4053600
1575979472.449232;542;3902400
1575979473.458153;547;3938400
1575979474.466878;591;4255200
1575979475.470846;497;3578400
1575979476.473098;546;3931200
1575979477.473116;462;3326400
1575979478.483922;570;4104000
1575979479.497948;551;3967200
1575979480.507576;586;4219200
1575979481.512002;578;4161600
1575979482.516029;593;4269600
1575979483.528372;575;4140000
1575979484.531157;582;4190400
1575979485.562575;497;3578400
1575979486.572371;634;4564800
1575979487.572159;493;3549600
1575979488.577251;579;4168800
1575979489.583268;589;4240800
1575979490.588671;584;4204800
1575979491.588727;587;4226400
1575979492.593338;588;4233600
1575979493.594102;590;4248000
1575979494.606353;566;4075200
1575979495.612128;545;3924000
1575979496.614147;597;4298400
1575979497.619334;357;2570400
1575979498.622253;503;3621600
1575979499.636248;535;3852000
1575979500.640176;576;4147200
1575979501.657296;573;4125600
1575979502.658653;558;4017600
1575979503.667172;535;3852000
1575979504.667203;570;4104000
1575979505.675388;571;4111200
1575979506.675363;556;4003200
1575979507.714397;447;3218400
1575979508.716398;450;3240000
1575979509.716394;586;4219200
1575979510.717393;528;3801600
1575979511.718275;600;4320000
1575979512.723415;544;3916800
1575979513.723395;579;4168800
1575979514.726641;571;4111200
1575979515.727799;624;4492800
1575979516.731450;608;4377600
1575979517.737404;622;4478400
1575979518.738725;529;3808800
1575979519.753592;618;4449600
1575979520.753736;582;4190400
1575979521.756507;607;4370400
1575979522.756598;582;4190400
1575979523.756784;605;4356000
1575979524.758518;600;4320000
1575979525.759471;633;4557600
1575979526.766568;624;4492800
1575979527.769566;525;3780000
1575979528.772488;527;3794400
1575979529.774761;557;4010400
1575979530.779895;525;3780000
1575979531.780669;560;4032000
1575979532.780657;578;4161600
1575979533.783694;585;4212000
1575979534.783740;538;3873600
1575979535.786624;642;4622400
1575979536.787755;578;4161600
1575979537.788756;597;4298400
1575979538.811575;558;4017600
1575979539.813888;483;3477600
1575979540.815645;574;4132800
1575979541.817278;581;4183200
1575979542.816921;607;4370400
1575979543.827733;612;4406400
1575979544.831263;519;3736800
1575979545.833657;567;4082400
1575979546.839946;561;4039200
1575979547.840793;595;4284000
1575979548.842842;544;3916800
1575979549.844835;421;3031200
1575979550.850036;538;3873600
1575979551.852868;543;3909600
1575979552.875104;600;4320000
1575979553.875790;613;4413600
1575979554.878811;488;3513600
1575979555.887986;510;3672000
1575979556.888072;576;4147200
1575979557.903532;577;4154400
1575979558.909131;542;3902400
1575979559.912202;486;3499200
1575979560.912021;538;3873600
1575979561.917879;564;4060800
1575979562.919264;543;3909600
1575979563.923053;583;4197600
1575979564.993057;578;4161600
1575979565.993119;543;3909600
1575979567.000494;548;3945600
1575979568.005120;575;4140000
1575979569.021327;582;4190400
1575979570.093166;563;4053600
1575979571.098500;520;3744000
1575979572.100050;559;4024800
1575979573.101027;584;4204800
