time;RSSI;RSRP;SINR;RSRQ;TX POWER;PCC RXD RSRP;PCC RXD RSSI;PCC RXM RSRP;PCC RXM RSSI;SCC RXD RSRP;SCC RXD RSSI;SCC RXM RSRP;SCC RXM RSSI;BAND;BW;RX CHAN;TX CHAN;SCELL BAND;SCELL BW;SCELL CHAN;CELLID;TAC;IP;network;interface
1575982939.169;-82.0;-107.0;6.0;-9.8;23.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982939.292;-82.0;-107.0;4.6;-9.7;23.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982939.416;-82.0;-107.0;6.0;-9.4;0.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982939.580;-82.0;-107.0;5.6;-9.2;5.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982939.704;-81.0;-107.0;5.8;-9.4;0.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982939.767;-82.0;-107.0;5.4;-9.6;5.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982940.073;-82.0;-107.0;5.4;-9.2;0.0;-140.0;-98.0;-107.0;-82.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982940.135;-83.0;-107.0;5.8;-8.9;5.0;-140.0;-98.0;-107.0;-83.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982940.441;-81.0;-107.0;6.6;-8.5;23.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
1575982940.596;-81.0;-107.0;5.2;-8.8;0.0;-140.0;-98.0;-107.0;-81.0;nan;nan;nan;nan;B20;10 MHz;6400;24400;;;;26170112;7;10.150.219.50;Telekom;lte_tmobile
